batch,pairID,mouseID,status
A,B,2,dom
A,W,2,sub
A,B,3,sub
A,W,3,dom
A,B,4,dom
A,W,4,sub
A,B,5,dom
A,W,5,sub
A,B,6,sub
A,W,6,dom
A,B,7,sub
A,W,7,dom
A,B,9,dom
A,W,9,sub
A,B,10,sub
A,W,10,dom
A,B,11,dom
A,W,11,sub
A,B,12,dom
A,W,12,sub
B,B,1,sub
B,W,1,dom
B,B,3,sub
B,W,3,dom
B,B,5,dom
B,W,5,sub
B,B,6,dom
B,W,6,sub
B,B,7,sub
B,W,7,dom
B,B,8,sub
B,W,8,dom
B,B,9,sub
B,W,9,dom
B,B,10,sub
B,W,10,dom
B,B,11,dom
B,W,11,sub
B,B,12,dom
B,W,12,sub
C,B,1,dom
C,W,1,sub
C,B,2,sub
C,W,2,dom
C,B,3,dom
C,W,3,sub
C,B,4,sub
C,W,4,dom
C,B,6,sub
C,W,6,dom
C,B,8,sub
C,W,8,dom
C,B,9,sub
C,W,9,dom
C,B,10,sub
C,W,10,dom
C,B,12,sub
C,W,12,dom
D,B,1,sub
D,W,1,dom
D,B,2,sub
D,W,2,dom
D,B,5,sub
D,W,5,dom
D,B,6,sub
D,W,6,dom
D,B,7,sub
D,W,7,dom
D,B,8,dom
D,W,8,sub
D,B,9,dom
D,W,9,sub
D,B,10,sub
D,W,10,dom
D,B,11,sub
D,W,11,dom
D,B,12,sub
D,W,12,dom
E,B,1,sub
E,W,1,dom
E,B,2,sub
E,W,2,dom
E,B,5,dom
E,W,5,sub
E,B,6,dom
E,W,6,sub
E,B,7,dom
E,W,7,sub
E,B,8,sub
E,W,8,dom
E,B,9,sub
E,W,9,dom
E,B,10,dom
E,W,10,sub
E,B,11,sub
E,W,11,dom
E,B,12,sub
E,W,12,dom
F,B,1,dom
F,W,1,sub
F,B,2,dom
F,W,2,sub
F,B,3,sub
F,W,3,dom
F,B,4,sub
F,W,4,dom
F,B,5,dom
F,W,5,sub
F,B,6,sub
F,W,6,dom
F,B,8,sub
F,W,8,dom
F,B,9,sub
F,W,9,dom
F,B,11,sub
F,W,11,dom
F,B,12,sub
F,W,12,dom
G,B,1,dom
G,W,1,sub
G,B,2,sub
G,W,2,dom
G,B,3,dom
G,W,3,sub
G,B,4,dom
G,W,4,sub
G,B,5,dom
G,W,5,sub
G,B,6,dom
G,W,6,sub
G,B,8,sub
G,W,8,dom
G,B,9,sub
G,W,9,dom
G,B,10,dom
G,W,10,sub
G,B,11,sub
G,W,11,dom
