batch,cohort,mouseID,time_out,GD14_bw,spleen_weight_mg,AGD
A,105,2,5:48,33,109,15.12
A,105,3,6:00,36.1,128,14.85
A,105,4,5:32,37.1,122,16.87
A,105,5,5:27,32.9,111,15.83
A,105,6,5:15,38.2,90,17.28
A,105,7,5:08,37.3,127,17.77
A,105,9,5:20,30.6,105,14.25
A,105,10,5:37,34.7,103,17.32
A,105,11,5:43,34.6,87,16.26
A,105,12,5:54,37.2,136,17.15
A,106,2,6:19,35.6,110,16.8
A,106,3,6:14,NA,96,16.18
A,106,4,7:04,40.6,134,15.4
A,106,5,6:25,35.9,108,18.2
A,106,6,6:31,33.6,85,16.73
A,106,7,6:42,35.9,120,16.77
A,106,9,6:53,34.3,87,17.15
A,106,10,6:59,32.6,99,14.98
A,106,11,6:36,39.8,119,16.85
A,106,12,6:47,40.8,121,17.44
B,107,1,5:17,40.3,155,14.99
B,107,3,5:30,41.7,128,17.85
B,107,5,5:24,38.8,149,14.23
B,107,6,5:52,40.8,144,17.01
B,107,7,5:47,41.8,118,16.8
B,107,8,5:11,38.9,89,16.21
B,107,9,5:55,39.3,103,14.33
B,107,10,5:36,42.6,116,15.36
B,107,11,5:05,NA,126,17.05
B,107,12,5:42,38.9,99,14.99
B,108,1,6:21,32.7,98,12.78
B,108,3,6:32,41.6,99,16.14
B,108,5,6:09,39.2,101,14.28
B,108,6,6:37,38.8,114,13.39
B,108,7,6:52,34,76,13.78
B,108,8,6:27,39.9,125,16.69
B,108,9,6:47,35.9,103,17.43
B,108,10,6:43,39.9,114,16.29
B,108,11,6:15,40.7,132,15.85
B,108,12,6:56,35.1,101,15.02
C,PAIR,1B,5:03,36.9,113,17.34
C,PAIR,1W,5:09,37.8,108,16.89
C,PAIR,2B,5:16,34.5,99,14.64
C,PAIR,2W,5:22,34.6,112,13.77
C,PAIR,3B,5:27,33.5,88,14.78
C,PAIR,3W,5:32,32.7,117,15.6
C,PAIR,4B,5:37,37.1,83,15.75
C,PAIR,4W,5:42,35.5,82,15.47
C,PAIR,6B,5:47,36.7,122,16.11
C,PAIR,6W,5:52,38.7,86,14.3
C,PAIR,8B,5:57,36.5,106,13.54
C,PAIR,8W,6:01,36.8,105,16.53
C,PAIR,9B,6:06,35.2,73,15.13
C,PAIR,9W,6:10,32.6,78,16.59
C,PAIR,10B,6:17,35.6,109,15.6
C,PAIR,10W,6:21,38.2,117,16.72
C,PAIR,12B,6:26,36.9,109,14.54
C,PAIR,12W,6:30,34.8,130,15.38
D,109,1,5:11,36.3,105,14.23
D,109,2,5:26,34.6,94,16.33
D,109,5,5:35,32.6,87,14.5
D,109,6,5:30,38.9,155,15.16
D,109,7,5:05,39.9,113,15.94
D,109,8,5:30,34.6,184,14.22
D,109,9,5:45,34.6,78,14.59
D,109,10,5:21,35.2,107,15.67
D,109,11,5:16,34.9,132,15.73
D,109,12,5:50,34,177,14.53
D,110,1,6:19,38.2,114,15.25
D,110,2,6:06,38.8,85,15.17
D,110,5,13:22,34.3,111,16.33
D,110,6,6:01,35.7,100,15.05
D,110,7,6:11,38.2,171,15.74
D,110,8,6:24,40,132,16.6
D,110,9,6:33,38.1,125,15.49
D,110,10,6:28,34.6,126,15.15
D,110,11,6:15,35.5,93,16.08
D,110,12,6:37,35.5,87,17.15
E,111,1,5:05,36.8,99,16.17
E,111,2,5:37,39.6,112,17.1
E,111,5,5:11,40.2,105,15.19
E,111,6,5:41,36.4,110,17.46
E,111,7,5:27,38.9,99,16.99
E,111,8,5:46,37.8,86,14.68
E,111,9,5:52,35.2,113,15.45
E,111,10,5:32,37.2,82,15.19
E,111,11,5:21,37.8,103,15.62
E,111,12,5:16,35.1,254,13.01
E,112,1,6:08,39.9,109,16.5
E,112,2,6:20,34.2,123,13.81
E,112,5,6:31,36.8,79,16.15
E,112,6,6:03,38.6,100,15.42
E,112,7,6:42,36.6,127,17.47
E,112,8,6:50,37,84,NA
E,112,9,6:26,38.8,97,15.1
E,112,10,6:46,38.5,120,14.52
E,112,11,6:36,35,97,14.69
E,112,12,6:13,33.7,167,14.92
F,113,1,11:31,37.8,88,17.2
F,113,2,5:23,36.3,115,15.03
F,113,3,5:44,35.3,84,14.32
F,113,4,5:53,37.2,89,15.96
F,113,5,5:17,38.9,154,14.81
F,113,6,5:33,36.4,102,16.11
F,113,8,5:28,39.8,86,13.57
F,113,9,5:08,36.8,78,14.36
F,113,11,5:12,47.8,135,17.12
F,113,12,5:38,38.6,123,15.97
F,114,1,6:34,43.6,108,16.79
F,114,2,6:17,32.7,83,16.12
F,114,3,6:42,34.8,126,16.25
F,114,4,6:38,34.1,99,NA
F,114,5,6:09,38,112,13.76
F,114,6,6:30,38.4,99,16.11
F,114,8,6:13,38.1,104,14.05
F,114,9,6:25,37.4,110,15.76
F,114,11,6:04,43.06,110,16.99
F,114,12,6:22,43.3,153,17.68
G,115,3,5:05,40.9,134,21.1
G,115,11,5:12,39.5,130,20.1
G,115,8,5:17,39.2,118,20.2
G,115,9,5:22,37.7,212,18.11
G,115,10,5:27,40.7,98,16.6
G,115,6,5:31,35.9,89,14.2
G,115,5,5:36,40,104,17.79
G,115,4,5:40,39.2,147,18.76
G,115,2,5:44,36.6,111,17.52
G,115,1,5:49,39.1,110,16.26
G,116,1,6:23,39.5,115,17.33
G,116,2,6:19,38.1,158,18.28
G,116,3,6:00,39.1,123,16.65
G,116,4,6:36,37.4,169,16.61
G,116,5,6:32,38.8,109,18.07
G,116,6,6:40,37.5,116,15.7
G,116,8,6:26,38.9,137,15.25
G,116,9,6:05,39.3,109,18.83
G,116,10,6:14,36.2,202,17.26
G,116,11,6:09,39.6,193,15.44
