Well ID,Well,Conc/Dil,450
BLK,B1,,0.675
,B2,,0.79
NSB,A1,,0.058
,A2,,0.066
SPL1,D3,,0.567
,D4,,0.572
SPL2,E3,,0.525
,E4,,0.513
SPL3,F3,,0.401
,F4,,0.397
SPL4,G3,,0.422
,G4,,0.411
SPL5,H3,,0.542
,H4,,0.543
SPL6,A5,,0.365
,A6,,0.344
SPL7,B5,,0.489
,B6,,0.487
SPL8,C5,,0.444
,C6,,0.417
SPL9,D5,,0.441
,D6,,0.477
SPL10,E5,,0.335
,E6,,0.321
SPL11,F5,,0.491
,F6,,0.501
SPL12,G5,,0.348
,G6,,0.341
SPL13,H5,,0.295
,H6,,0.277
SPL14,A7,,0.519
,A8,,0.516
SPL15,B7,,0.315
,B8,,0.285
SPL16,C7,,0.336
,C8,,0.327
SPL17,D7,,0.323
,D8,,0.296
SPL18,E7,,0.369
,E8,,0.355
SPL19,F7,,0.156
,F8,,0.15
SPL20,G7,,0.219
,G8,,0.211
SPL21,H7,,0.186
,H8,,0.168
SPL22,A9,,0.156
,A10,,0.162
SPL23,B9,,0.248
,B10,,0.258
SPL24,C9,,0.18
,C10,,0.182
SPL25,D9,,0.222
,D10,,0.229
SPL26,E9,,0.452
,E10,,0.466
SPL27,F9,,0.241
,F10,,0.23
SPL28,G9,,0.159
,G10,,0.159
SPL29,H9,,0.65
,H10,,0.67
SPL30,A11,,0.164
,A12,,0.162
SPL31,B11,,0.18
,B12,,0.19
SPL32,C11,,0.164
,C12,,0.16
SPL33,D11,,0.231
,D12,,0.222
SPL34,E11,,0.184
,E12,,0.182
SPL35,F11,,0.197
,F12,,0.179
SPL36,G11,,0.187
,G12,,0.196
STD1,C1,5000,0.139
,C2,5000,0.155
STD2,D1,2500,0.176
,D2,2500,0.174
STD3,E1,1250,0.232
,E2,1250,0.239
STD4,F1,625,0.319
,F2,625,0.325
STD5,G1,312.5,0.446
,G2,312.5,0.442
STD6,H1,156.25,0.489
,H2,156.25,0.503
STD7,A3,78.125,0.696
,A4,78.125,0.596
STD8,B3,39.063,0.597
,B4,39.063,0.658
STD9,C3,19.531,0.691
,C4,19.531,0.68
