"","batch","timepoint","subjectID","creatinine_mg_ml"
"1","A","GD14","A.10",1018.37867051448
"2","A","GD14","A.11",1431.53144927056
"3","A","GD14","A.12",2160.62458825187
"4","A","GD14","A.2",751.044519554668
"5","A","GD14","A.3",896.86314735093
"6","A","GD14","A.4",872.56004271822
"7","A","GD14","A.6",1358.62213537243
"8","A","GD14","A.7",1139.89419367803
"9","A","GD14","A.9",848.25693808551
"10","A","GD14","B.10",1139.89419367803
"11","A","GD14","B.11",1310.01592610701
"12","A","GD14","B.12",1480.13765853598
"13","A","GD14","B.2",1188.50040294345
"14","A","GD14","B.3",1310.01592610701
"15","A","GD14","B.4",1188.50040294345
"16","A","GD14","B.5",1212.80350757616
"17","A","GD14","B.6",1261.40971684159
"18","A","GD14","B.7",1553.04697243411
"19","A","GD14","B.9",1237.10661220887
"20","A","PD09","B.10",872.56004271822
"21","A","PD09","B.11",1455.83455390327
"22","A","PD09","B.12",2136.32148361916
"23","A","PD09","B.2",1042.68177514719
"24","A","PD09","B.3",1066.9848797799
"25","A","PD09","B.4",2282.14011141542
"26","A","PD09","B.5",1868.98733265934
"27","A","PD09","B.6",2622.38357627336
"28","A","PD09","B.7",1261.40971684159
"29","A","PD09","B.9",289.285531533173
"30","A","PD09","W.10",799.650728820089
"31","A","PD09","W.11",1771.7749141285
"32","A","PD09","W.12",1577.35007706682
"33","A","PD09","W.2",1066.9848797799
"34","A","PD09","W.3",1188.50040294345
"35","A","PD09","W.4",289.285531533173
"36","A","PD09","W.5",1115.59108904532
"37","A","PD09","W.6",1066.9848797799
"38","A","PD09","W.7",969.772461249061
"39","A","PD09","W.9",289.285531533173
"40","B","GD14","C.1",483.285613488535
"41","B","GD14","C.10",809.33730536643
"42","B","GD14","C.11",759.175506615985
"43","B","GD14","C.12",959.822701617766
"44","B","GD14","C.3",809.33730536643
"45","B","GD14","C.5",909.66090286732
"46","B","GD14","C.6",859.499104116875
"47","B","GD14","C.7",608.690110364648
"48","B","GD14","C.8",809.33730536643
"49","B","GD14","C.9",759.175506615985
"50","B","GD14","D.1",759.175506615985
"51","B","GD14","D.10",1009.98450036821
"52","B","GD14","D.11",1737.33058224967
"53","B","GD14","D.12",1160.46989661955
"54","B","GD14","D.3",658.851909115093
"55","B","GD14","D.5",984.903600992989
"56","B","GD14","D.6",533.44741223898
"57","B","GD14","D.7",834.418204741653
"58","B","GD14","D.8",683.932808490316
"59","B","GD14","D.9",934.741802242543
"60","B","PD09","B.1",633.771009739871
"61","B","PD09","B.10",1009.98450036821
"62","B","PD09","B.11",1135.38899724433
"63","B","PD09","B.12",533.44741223898
"64","B","PD09","B.3",558.528311614202
"65","B","PD09","B.5",934.741802242543
"66","B","PD09","B.6",734.094607240762
"67","B","PD09","B.7",583.609210989425
"68","B","PD09","B.8",1085.22719849388
"69","B","PD09","B.9",909.66090286732
"70","B","PD09","W.1",658.851909115093
"71","B","PD09","W.10",2063.38227412757
"72","B","PD09","W.11",608.690110364648
"73","B","PD09","W.12",984.903600992989
"74","B","PD09","W.3",909.66090286732
"75","B","PD09","W.5",1185.55079599477
"76","B","PD09","W.6",1085.22719849388
"77","B","PD09","W.7",1887.81597850101
"78","B","PD09","W.8",1085.22719849388
"79","B","PD09","W.9",959.822701617766
"80","D","GD14","E.10",1677.12652977296
"81","D","GD14","E.11",2536.55641936928
"82","D","GD14","E.12",2224.03645951607
"83","D","GD14","E.2",1755.25651973626
"84","D","GD14","E.5",1494.82321985859
"85","D","GD14","E.6",270.786710433526
"86","D","GD14","E.7",1312.51990994422
"87","D","GD14","E.8",1026.04328007878
"88","D","GD14","E.9",1442.73655988305
"89","D","GD14","F.1",1416.69322989529
"90","D","GD14","F.10",1156.25993001761
"91","D","GD14","F.11",1859.42983968733
"92","D","GD14","F.12",1703.16985976073
"93","D","GD14","F.2",1130.21660002985
"94","D","GD14","F.5",1026.04328007878
"95","D","GD14","F.6",1364.60656991975
"96","D","GD14","F.7",1442.73655988305
"97","D","GD14","F.8",1338.56323993199
"98","D","GD14","F.9",322.873370409061
"99","D","PD09","B.1",1703.16985976073
"100","D","PD09","B.10",1208.34658999315
"101","D","PD09","B.11",1312.51990994422
"102","D","PD09","B.12",1390.64989990752
"103","D","PD09","B.2",1442.73655988305
"104","D","PD09","B.5",739.566650213337
"105","D","PD09","B.6",947.913290115476
"106","D","PD09","B.7",1833.38650969956
"107","D","PD09","W.1",1390.64989990752
"108","D","PD09","W.10",1260.43324996868
"109","D","PD09","W.11",1494.82321985859
"110","D","PD09","W.12",1598.99653980966
"111","D","PD09","W.2",1286.47657995645
"112","D","PD09","W.5",1156.25993001761
"113","D","PD09","W.6",1390.64989990752
"114","D","PD09","W.7",1104.17327004208
"115","D","PD09","W.9",1572.95320982189
"116","E","GD14","G.1",1554.2695663937
"117","E","GD14","G.10",1330.56586454406
"118","E","GD14","G.11",1827.68520198769
"119","E","GD14","G.12",1529.41359952152
"120","E","GD14","G.2",1454.84569890497
"121","E","GD14","G.5",1305.70989767188
"122","E","GD14","G.6",908.014427716979
"123","E","GD14","G.7",1380.27779828843
"124","E","GD14","G.8",1753.11730137115
"125","E","GD14","G.9",1429.98973203279
"126","E","GD14","H.1",1106.86216269443
"127","E","GD14","H.10",1032.29426207789
"128","E","GD14","H.11",1156.57409643879
"129","E","GD14","H.12",1380.27779828843
"130","E","GD14","H.5",1554.2695663937
"131","E","GD14","H.6",2299.94857255914
"132","E","GD14","H.8",1454.84569890497
"133","E","GD14","H.9",1305.70989767188
"134","E","PD09","B.1",1529.41359952152
"135","E","PD09","B.10",932.870394589161
"136","E","PD09","B.11",1405.13376516061
"137","E","PD09","B.12",1529.41359952152
"138","E","PD09","B.2",1206.28603018316
"139","E","PD09","B.5",1380.27779828843
"140","E","PD09","B.6",1255.99796392752
"141","E","PD09","B.7",908.014427716979
"142","E","PD09","B.8",659.454758995164
"143","E","PD09","B.9",1082.00619582225
"144","E","PD09","W.1",808.590560228253
"145","E","PD09","W.10",709.166692739527
"146","E","PD09","W.11",336.327189656804
"147","E","PD09","W.2",684.310725867345
"148","E","PD09","W.5",709.166692739527
"149","E","PD09","W.6",659.454758995164
"150","E","PD09","W.9",709.166692739527
"151","F","GD14","I.1",1283.29193499835
"152","F","GD14","I.11",1148.11674104294
"153","F","GD14","I.12",1256.25689620727
"154","F","GD14","I.2",1580.67736170025
"155","F","GD14","I.3",607.415965221306
"156","F","GD14","I.4",2148.41317631296
"157","F","GD14","I.5",1742.88759444674
"158","F","GD14","I.6",1769.92263323782
"159","F","GD14","I.8",1715.85255565566
"160","F","GD14","I.9",1715.85255565566
"161","F","GD14","J.1",1310.32697378943
"162","F","GD14","J.11",1661.78247807349
"163","F","GD14","J.12",1715.85255565566
"164","F","GD14","J.2",1688.81751686458
"165","F","GD14","J.3",1418.46712895376
"166","F","GD14","J.4",1148.11674104294
"167","F","GD14","J.5",1472.53720653592
"168","F","GD14","J.6",1229.22185741619
"169","F","GD14","J.8",1607.71240049133
"170","F","GD14","J.9",1661.78247807349
"171","F","PD09","B.1",796.661236758878
"172","F","PD09","B.11",1932.13286598431
"173","F","PD09","B.12",1796.9576720289
"174","F","PD09","B.2",688.521081594551
"175","F","PD09","B.3",742.591159176715
"176","F","PD09","B.4",1012.94154708753
"177","F","PD09","B.5",1067.0116246697
"178","F","PD09","B.6",850.731314341042
"179","F","PD09","B.8",931.836430714287
"180","F","PD09","B.9",1310.32697378943
"181","F","PD09","W.1",1039.97658587861
"182","F","PD09","W.11",2067.30805993972
"183","F","PD09","W.12",1905.09782719323
"184","F","PD09","W.2",1310.32697378943
"185","F","PD09","W.3",958.871469505369
"186","F","PD09","W.4",1310.32697378943
"187","F","PD09","W.5",1202.1868186251
"188","F","PD09","W.6",1634.74743928241
"189","F","PD09","W.8",1121.08170225186
"190","F","PD09","W.9",1472.53720653592
"191","G","GD14","K.1",819.321294059638
"192","G","GD14","K.10",1561.67067193152
"193","G","GD14","K.11",2357.04500536567
"194","G","GD14","K.2",978.39616074647
"195","G","GD14","K.3",951.883682965331
"196","G","GD14","K.5",1482.1332385881
"197","G","GD14","K.6",1243.52093855785
"198","G","GD14","K.8",925.371205184192
"199","G","GD14","K.9",1110.95854965216
"200","G","GD14","L.1",1296.54589412013
"201","G","GD14","L.10",1429.10828302582
"202","G","GD14","L.11",1614.69562749379
"203","G","GD14","L.2",1429.10828302582
"204","G","GD14","L.3",1296.54589412013
"205","G","GD14","L.4",1323.05837190127
"206","G","GD14","L.5",1376.08332746355
"207","G","GD14","L.6",1694.23306083721
"208","G","GD14","L.8",1349.57084968241
"209","G","GD14","L.9",1243.52093855785
"210","G","PD09","B.1",1137.4710274333
"211","G","PD09","B.10",1588.18314971266
"212","G","PD09","B.11",2330.53252758453
"213","G","PD09","B.2",1163.98350521444
"214","G","PD09","B.3",2489.60739427136
"215","G","PD09","B.4",2038.89527199201
"216","G","PD09","B.5",2860.7820832073
"217","G","PD09","B.6",1376.08332746355
"218","G","PD09","B.9",951.883682965331
"219","G","PD09","W.1",1163.98350521444
"220","G","PD09","W.10",1932.84536086746
"221","G","PD09","W.11",1720.74553861835
"222","G","PD09","W.2",1296.54589412013
"223","G","PD09","W.4",1217.00846077672
"224","G","PD09","W.5",1163.98350521444
"225","G","PD09","W.6",1057.93359408988
"226","G","PD09","W.9",872.346249621915
