batch,timepoint,subjectID,protein_mg_ml
C,Endpoint,B.1,14.29664524
C,Endpoint,B.10,16.36340367
C,Endpoint,B.12,15.57769385
C,Endpoint,B.2,14.34788719
C,Endpoint,B.3,15.47520996
C,Endpoint,B.4,13.95503228
C,Endpoint,B.6,17.18327478
C,Endpoint,B.8,19.01090413
C,Endpoint,B.9,16.80750052
C,Endpoint,W.1,13.25472571
C,Endpoint,W.10,13.3230483
C,Endpoint,W.12,19.2841945
C,Endpoint,W.2,11.39293506
C,Endpoint,W.3,11.76870932
C,Endpoint,W.4,9.223692748
C,Endpoint,W.6,15.78266163
C,Endpoint,W.8,16.26091978
C,Endpoint,W.9,13.22056441
